tahun,bulan,jenis_beras,harga
2011,Januari,Cianjur Kepala,10435
2011,Februari,Cianjur Kepala,10597
2011,Maret,Cianjur Kepala,10558
2011,April,Cianjur Kepala,10639
2011,Mei,Cianjur Kepala,10603
2011,Juni,Cianjur Kepala,10620
2011,Juli,Cianjur Kepala,10674
2011,Agustus,Cianjur Kepala,10648
2011,September,Cianjur Kepala,10820
2011,Oktober,Cianjur Kepala,10977
2011,Nopember,Cianjur Kepala,11000
2011,Desember,Cianjur Kepala,11019
2011,Januari,Cianjur Slyp,9735
2011,Februari,Cianjur Slyp,9945
2011,Maret,Cianjur Slyp,9818
2011,April,Cianjur Slyp,9631
2011,Mei,Cianjur Slyp,9500
2011,Juni,Cianjur Slyp,9533
2011,Juli,Cianjur Slyp,9674
2011,Agustus,Cianjur Slyp,9700
2011,September,Cianjur Slyp,9700
2011,Oktober,Cianjur Slyp,9842
2011,Nopember,Cianjur Slyp,9900
2011,Desember,Cianjur Slyp,9948
2011,Januari,Setra,9534
2011,Februari,Setra,9550
2011,Maret,Setra,9531
2011,April,Setra,9348
2011,Mei,Setra,9352
2011,Juni,Setra,9400
2011,Juli,Setra,9400
2011,Agustus,Setra,9400
2011,September,Setra,9480
2011,Oktober,Setra,9397
2011,Nopember,Setra,9300
2011,Desember,Setra,9429
2011,Januari,Saigon Bandung,9110
2011,Februari,Saigon Bandung,9200
2011,Maret,Saigon Bandung,9090
2011,April,Saigon Bandung,8918
2011,Mei,Saigon Bandung,8848
2011,Juni,Saigon Bandung,9033
2011,Juli,Saigon Bandung,9050
2011,Agustus,Saigon Bandung,9035
2011,September,Saigon Bandung,8980
2011,Oktober,Saigon Bandung,8945
2011,Nopember,Saigon Bandung,8900
2011,Desember,Saigon Bandung,8900
2011,Januari,Muncul I,8968
2011,Februari,Muncul I,9097
2011,Maret,Muncul I,8827
2011,April,Muncul I,8550
2011,Mei,Muncul I,8510
2011,Juni,Muncul I,8467
2011,Juli,Muncul I,8400
2011,Agustus,Muncul I,8390
2011,September,Muncul I,8300
2011,Oktober,Muncul I,8377
2011,Nopember,Muncul I,8550
2011,Desember,Muncul I,8800
2011,Januari,Muncul II,8337
2011,Februari,Muncul II,8495
2011,Maret,Muncul II,8177
2011,April,Muncul II,7900
2011,Mei,Muncul II,7819
2011,Juni,Muncul II,7800
2011,Juli,Muncul II,7800
2011,Agustus,Muncul II,7800
2011,September,Muncul II,7787
2011,Oktober,Muncul II,7715
2011,Nopember,Muncul II,7910
2011,Desember,Muncul II,8094
2011,Januari,Muncul III,7750
2011,Februari,Muncul III,7750
2011,Maret,Muncul III,7539
2011,April,Muncul III,7394
2011,Mei,Muncul III,7400
2011,Juni,Muncul III,7400
2011,Juli,Muncul III,7400
2011,Agustus,Muncul III,7274
2011,September,Muncul III,7290
2011,Oktober,Muncul III,7300
2011,Nopember,Muncul III,7393
2011,Desember,Muncul III,7513
2011,Januari,IR. I,8423
2011,Februari,IR. I,8500
2011,Maret,IR. I,8377
2011,April,IR. I,8244
2011,Mei,IR. I,8215
2011,Juni,IR. I,8300
2011,Juli,IR. I,8297
2011,Agustus,IR. I,8202
2011,September,IR. I,8233
2011,Oktober,IR. I,8200
2011,Nopember,IR. I,8363
2011,Desember,IR. I,8494
2011,Januari,IR. II,7445
2011,Februari,IR. II,7500
2011,Maret,IR. II,7500
2011,April,IR. II,7500
2011,Mei,IR. II,7537
2011,Juni,IR. II,7713
2011,Juli,IR. II,7758
2011,Agustus,IR. II,7700
2011,September,IR. II,7717
2011,Oktober,IR. II,7700
2011,Nopember,IR. II,7838
2011,Desember,IR. II,7919
2011,Januari,IR. III,6821
2011,Februari,IR. III,6752
2011,Maret,IR. III,6750
2011,April,IR. III,6750
2011,Mei,IR. III,6821
2011,Juni,IR. III,7123
2011,Juli,IR. III,7192
2011,Agustus,IR. III,7202
2011,September,IR. III,7240
2011,Oktober,IR. III,7277
2011,Nopember,IR. III,7438
2011,Desember,IR. III,7435
2011,Januari,IR. 42,8169
2011,Februari,IR. 42,8105
2011,Maret,IR. 42,8382
2011,April,IR. 42,8310
2011,Mei,IR. 42,8161
2011,Juni,IR. 42,8410
2011,Juli,IR. 42,8645
2011,Agustus,IR. 42,8616
2011,September,IR. 42,8613
2011,Oktober,IR. 42,8700
2011,Nopember,IR. 42,8783
2011,Desember,IR. 42,8894
2011,Januari,Ketan Putih,10484
2011,Februari,Ketan Putih,10090
2011,Maret,Ketan Putih,10082
2011,April,Ketan Putih,9753
2011,Mei,Ketan Putih,9528
2011,Juni,Ketan Putih,9475
2011,Juli,Ketan Putih,9817
2011,Agustus,Ketan Putih,10945
2011,September,Ketan Putih,10610
2011,Oktober,Ketan Putih,10600
2011,Nopember,Ketan Putih,11354
2011,Desember,Ketan Putih,12224
2011,Januari,Ketan Hitam,11500
2011,Februari,Ketan Hitam,11500
2011,Maret,Ketan Hitam,12306
2011,April,Ketan Hitam,12823
2011,Mei,Ketan Hitam,12316
2011,Juni,Ketan Hitam,11540
2011,Juli,Ketan Hitam,11684
2011,Agustus,Ketan Hitam,12123
2011,September,Ketan Hitam,12200
2011,Oktober,Ketan Hitam,12200
2011,Nopember,Ketan Hitam,12410
2011,Desember,Ketan Hitam,12103
